destination,annual_visitors,day,weather,holiday,festival,crowd_score,crowd
Taj Mahal,6264225,Friday,Rainy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Saturday,Sunny,Yes,Yes,58.75,Medium
Taj Mahal,6264225,Saturday,Cloudy,Yes,Yes,58.75,Medium
Taj Mahal,6264225,Saturday,Rainy,Yes,Yes,48.75,Medium
Taj Mahal,6264225,Sunday,Sunny,Yes,Yes,68.75,Medium
Taj Mahal,6264225,Sunday,Cloudy,Yes,Yes,68.75,Medium
Taj Mahal,6264225,Sunday,Rainy,Yes,Yes,58.75,Medium
Sun Temple,3571289,Monday,Sunny,No,No,19.05,Low
Sun Temple,3571289,Monday,Cloudy,No,No,19.05,Low
Sun Temple,3571289,Monday,Rainy,No,No,9.05,Low
Sun Temple,3571289,Tuesday,Sunny,No,No,19.05,Low
Sun Temple,3571289,Tuesday,Cloudy,No,No,19.05,Low
Sun Temple,3571289,Tuesday,Rainy,No,No,9.05,Low
Sun Temple,3571289,Wednesday,Sunny,No,No,19.05,Low
Sun Temple,3571289,Wednesday,Cloudy,No,No,19.05,Low
Sun Temple,3571289,Wednesday,Rainy,No,No,9.05,Low
Sun Temple,3571289,Thursday,Sunny,No,No,19.05,Low
Sun Temple,3571289,Thursday,Cloudy,No,No,19.05,Low
Sun Temple,3571289,Thursday,Rainy,No,No,9.05,Low
Sun Temple,3571289,Friday,Sunny,No,No,29.05,Low
Sun Temple,3571289,Friday,Cloudy,No,No,29.05,Low
Sun Temple,3571289,Friday,Rainy,No,No,19.05,Low
Sun Temple,3571289,Saturday,Sunny,No,No,29.05,Low
Sun Temple,3571289,Saturday,Cloudy,No,No,29.05,Low
Sun Temple,3571289,Saturday,Rainy,No,No,19.05,Low
Sun Temple,3571289,Sunday,Sunny,No,No,39.05,Low
Sun Temple,3571289,Sunday,Cloudy,No,No,39.05,Low
Sun Temple,3571289,Sunday,Rainy,No,No,29.05,Low
Sun Temple,3571289,Monday,Sunny,Yes,No,29.05,Low
Sun Temple,3571289,Monday,Cloudy,Yes,No,29.05,Low
Sun Temple,3571289,Monday,Rainy,Yes,No,19.05,Low
Sun Temple,3571289,Tuesday,Sunny,Yes,No,29.05,Low
Sun Temple,3571289,Tuesday,Cloudy,Yes,No,29.05,Low
Sun Temple,3571289,Tuesday,Rainy,Yes,No,19.05,Low
Sun Temple,3571289,Wednesday,Sunny,Yes,No,29.05,Low
Sun Temple,3571289,Wednesday,Cloudy,Yes,No,29.05,Low
Sun Temple,3571289,Wednesday,Rainy,Yes,No,19.05,Low
Sun Temple,3571289,Thursday,Sunny,Yes,No,29.05,Low
Sun Temple,3571289,Thursday,Cloudy,Yes,No,29.05,Low
Sun Temple,3571289,Thursday,Rainy,Yes,No,19.05,Low
Sun Temple,3571289,Friday,Sunny,Yes,No,39.05,Low
Sun Temple,3571289,Friday,Cloudy,Yes,No,39.05,Low
Sun Temple,3571289,Friday,Rainy,Yes,No,29.05,Low
Sun Temple,3571289,Saturday,Sunny,Yes,No,39.05,Low
Sun Temple,3571289,Saturday,Cloudy,Yes,No,39.05,Low
Sun Temple,3571289,Saturday,Rainy,Yes,No,29.05,Low
Sun Temple,3571289,Sunday,Sunny,Yes,No,49.05,Medium
Sun Temple,3571289,Sunday,Cloudy,Yes,No,49.05,Medium
Sun Temple,3571289,Sunday,Rainy,Yes,No,39.05,Low
Sun Temple,3571289,Monday,Sunny,No,Yes,34.05,Low
Sun Temple,3571289,Monday,Cloudy,No,Yes,34.05,Low
Sun Temple,3571289,Monday,Rainy,No,Yes,24.05,Low
Sun Temple,3571289,Tuesday,Sunny,No,Yes,34.05,Low
Sun Temple,3571289,Tuesday,Cloudy,No,Yes,34.05,Low
Sun Temple,3571289,Tuesday,Rainy,No,Yes,24.05,Low
Sun Temple,3571289,Wednesday,Sunny,No,Yes,34.05,Low
Sun Temple,3571289,Wednesday,Cloudy,No,Yes,34.05,Low
Sun Temple,3571289,Wednesday,Rainy,No,Yes,24.05,Low
Sun Temple,3571289,Thursday,Sunny,No,Yes,34.05,Low
Sun Temple,3571289,Thursday,Cloudy,No,Yes,34.05,Low
Sun Temple,3571289,Thursday,Rainy,No,Yes,24.05,Low
Sun Temple,3571289,Friday,Sunny,No,Yes,44.05,Medium
Sun Temple,3571289,Friday,Cloudy,No,Yes,44.05,Medium
Sun Temple,3571289,Friday,Rainy,No,Yes,34.05,Low
Sun Temple,3571289,Saturday,Sunny,No,Yes,44.05,Medium
Sun Temple,3571289,Saturday,Cloudy,No,Yes,44.05,Medium
Sun Temple,3571289,Saturday,Rainy,No,Yes,34.05,Low
Sun Temple,3571289,Sunday,Sunny,No,Yes,54.05,Medium
Sun Temple,3571289,Sunday,Cloudy,No,Yes,54.05,Medium
Sun Temple,3571289,Sunday,Rainy,No,Yes,44.05,Medium
Sun Temple,3571289,Monday,Sunny,Yes,Yes,44.05,Medium
Sun Temple,3571289,Monday,Cloudy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Monday,Rainy,Yes,Yes,34.05,Low
Sun Temple,3571289,Tuesday,Sunny,Yes,Yes,44.05,Medium
Sun Temple,3571289,Tuesday,Cloudy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Tuesday,Rainy,Yes,Yes,34.05,Low
Sun Temple,3571289,Wednesday,Sunny,Yes,Yes,44.05,Medium
Sun Temple,3571289,Wednesday,Cloudy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Wednesday,Rainy,Yes,Yes,34.05,Low
Sun Temple,3571289,Thursday,Sunny,Yes,Yes,44.05,Medium
Sun Temple,3571289,Thursday,Cloudy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Thursday,Rainy,Yes,Yes,34.05,Low
Sun Temple,3571289,Friday,Sunny,Yes,Yes,54.05,Medium
Sun Temple,3571289,Friday,Cloudy,Yes,Yes,54.05,Medium
Sun Temple,3571289,Friday,Rainy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Saturday,Sunny,Yes,Yes,54.05,Medium
Sun Temple,3571289,Saturday,Cloudy,Yes,Yes,54.05,Medium
Sun Temple,3571289,Saturday,Rainy,Yes,Yes,44.05,Medium
Sun Temple,3571289,Sunday,Sunny,Yes,Yes,64.05,Medium
Sun Temple,3571289,Sunday,Cloudy,Yes,Yes,64.05,Medium
Sun Temple,3571289,Sunday,Rainy,Yes,Yes,54.05,Medium
Qutub Minar,3204760,Monday,Sunny,No,No,18.15,Low
Qutub Minar,3204760,Monday,Cloudy,No,No,18.15,Low
Qutub Minar,3204760,Monday,Rainy,No,No,8.15,Low
Qutub Minar,3204760,Tuesday,Sunny,No,No,18.15,Low
Qutub Minar,3204760,Tuesday,Cloudy,No,No,18.15,Low
Qutub Minar,3204760,Tuesday,Rainy,No,No,8.15,Low
Qutub Minar,3204760,Wednesday,Sunny,No,No,18.15,Low
Qutub Minar,3204760,Wednesday,Cloudy,No,No,18.15,Low
Qutub Minar,3204760,Wednesday,Rainy,No,No,8.15,Low
Qutub Minar,3204760,Thursday,Sunny,No,No,18.15,Low
Qutub Minar,3204760,Thursday,Cloudy,No,No,18.15,Low
Qutub Minar,3204760,Thursday,Rainy,No,No,8.15,Low
Qutub Minar,3204760,Friday,Sunny,No,No,28.15,Low
Qutub Minar,3204760,Friday,Cloudy,No,No,28.15,Low
Qutub Minar,3204760,Friday,Rainy,No,No,18.15,Low
Qutub Minar,3204760,Saturday,Sunny,No,No,28.15,Low
Qutub Minar,3204760,Saturday,Cloudy,No,No,28.15,Low
Qutub Minar,3204760,Saturday,Rainy,No,No,18.15,Low
Qutub Minar,3204760,Sunday,Sunny,No,No,38.15,Low
Qutub Minar,3204760,Sunday,Cloudy,No,No,38.15,Low
Qutub Minar,3204760,Sunday,Rainy,No,No,28.15,Low
Qutub Minar,3204760,Monday,Sunny,Yes,No,28.15,Low
Qutub Minar,3204760,Monday,Cloudy,Yes,No,28.15,Low
Qutub Minar,3204760,Monday,Rainy,Yes,No,18.15,Low
Qutub Minar,3204760,Tuesday,Sunny,Yes,No,28.15,Low
Qutub Minar,3204760,Tuesday,Cloudy,Yes,No,28.15,Low
Qutub Minar,3204760,Tuesday,Rainy,Yes,No,18.15,Low
Qutub Minar,3204760,Wednesday,Sunny,Yes,No,28.15,Low
Qutub Minar,3204760,Wednesday,Cloudy,Yes,No,28.15,Low
Qutub Minar,3204760,Wednesday,Rainy,Yes,No,18.15,Low
Qutub Minar,3204760,Thursday,Sunny,Yes,No,28.15,Low
Qutub Minar,3204760,Thursday,Cloudy,Yes,No,28.15,Low
Qutub Minar,3204760,Thursday,Rainy,Yes,No,18.15,Low
Qutub Minar,3204760,Friday,Sunny,Yes,No,38.15,Low
Qutub Minar,3204760,Friday,Cloudy,Yes,No,38.15,Low
Qutub Minar,3204760,Friday,Rainy,Yes,No,28.15,Low
Qutub Minar,3204760,Saturday,Sunny,Yes,No,38.15,Low
Qutub Minar,3204760,Saturday,Cloudy,Yes,No,38.15,Low
Qutub Minar,3204760,Saturday,Rainy,Yes,No,28.15,Low
Qutub Minar,3204760,Sunday,Sunny,Yes,No,48.15,Medium
Qutub Minar,3204760,Sunday,Cloudy,Yes,No,48.15,Medium
Qutub Minar,3204760,Sunday,Rainy,Yes,No,38.15,Low
Qutub Minar,3204760,Monday,Sunny,No,Yes,33.15,Low
Qutub Minar,3204760,Monday,Cloudy,No,Yes,33.15,Low
Qutub Minar,3204760,Monday,Rainy,No,Yes,23.15,Low
Qutub Minar,3204760,Tuesday,Sunny,No,Yes,33.15,Low
Qutub Minar,3204760,Tuesday,Cloudy,No,Yes,33.15,Low
Qutub Minar,3204760,Tuesday,Rainy,No,Yes,23.15,Low
Qutub Minar,3204760,Wednesday,Sunny,No,Yes,33.15,Low
Qutub Minar,3204760,Wednesday,Cloudy,No,Yes,33.15,Low
Qutub Minar,3204760,Wednesday,Rainy,No,Yes,23.15,Low
Qutub Minar,3204760,Thursday,Sunny,No,Yes,33.15,Low
Qutub Minar,3204760,Thursday,Cloudy,No,Yes,33.15,Low
Qutub Minar,3204760,Thursday,Rainy,No,Yes,23.15,Low
Qutub Minar,3204760,Friday,Sunny,No,Yes,43.15,Medium
Qutub Minar,3204760,Friday,Cloudy,No,Yes,43.15,Medium
Qutub Minar,3204760,Friday,Rainy,No,Yes,33.15,Low
Qutub Minar,3204760,Saturday,Sunny,No,Yes,43.15,Medium
Qutub Minar,3204760,Saturday,Cloudy,No,Yes,43.15,Medium
Qutub Minar,3204760,Saturday,Rainy,No,Yes,33.15,Low
Qutub Minar,3204760,Sunday,Sunny,No,Yes,53.15,Medium
Qutub Minar,3204760,Sunday,Cloudy,No,Yes,53.15,Medium
Qutub Minar,3204760,Sunday,Rainy,No,Yes,43.15,Medium
Qutub Minar,3204760,Monday,Sunny,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Monday,Cloudy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Monday,Rainy,Yes,Yes,33.15,Low
Qutub Minar,3204760,Tuesday,Sunny,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Tuesday,Cloudy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Tuesday,Rainy,Yes,Yes,33.15,Low
Qutub Minar,3204760,Wednesday,Sunny,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Wednesday,Cloudy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Wednesday,Rainy,Yes,Yes,33.15,Low
Qutub Minar,3204760,Thursday,Sunny,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Thursday,Cloudy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Thursday,Rainy,Yes,Yes,33.15,Low
Qutub Minar,3204760,Friday,Sunny,Yes,Yes,53.15,Medium
Qutub Minar,3204760,Friday,Cloudy,Yes,Yes,53.15,Medium
Qutub Minar,3204760,Friday,Rainy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Saturday,Sunny,Yes,Yes,53.15,Medium
Qutub Minar,3204760,Saturday,Cloudy,Yes,Yes,53.15,Medium
Qutub Minar,3204760,Saturday,Rainy,Yes,Yes,43.15,Medium
Qutub Minar,3204760,Sunday,Sunny,Yes,Yes,63.15,Medium
Qutub Minar,3204760,Sunday,Cloudy,Yes,Yes,63.15,Medium
Qutub Minar,3204760,Sunday,Rainy,Yes,Yes,53.15,Medium
Red Fort,2884399,Monday,Sunny,No,No,17.27,Low
Red Fort,2884399,Monday,Cloudy,No,No,17.27,Low
Red Fort,2884399,Monday,Rainy,No,No,7.27,Low
Red Fort,2884399,Tuesday,Sunny,No,No,17.27,Low
Red Fort,2884399,Tuesday,Cloudy,No,No,17.27,Low
Red Fort,2884399,Tuesday,Rainy,No,No,7.27,Low
Red Fort,2884399,Wednesday,Sunny,No,No,17.27,Low
Red Fort,2884399,Wednesday,Cloudy,No,No,17.27,Low
Red Fort,2884399,Wednesday,Rainy,No,No,7.27,Low
Red Fort,2884399,Thursday,Sunny,No,No,17.27,Low
Red Fort,2884399,Thursday,Cloudy,No,No,17.27,Low
Red Fort,2884399,Thursday,Rainy,No,No,7.27,Low
Red Fort,2884399,Friday,Sunny,No,No,27.27,Low
Red Fort,2884399,Friday,Cloudy,No,No,27.27,Low
Red Fort,2884399,Friday,Rainy,No,No,17.27,Low
Red Fort,2884399,Saturday,Sunny,No,No,27.27,Low
Red Fort,2884399,Saturday,Cloudy,No,No,27.27,Low
Red Fort,2884399,Saturday,Rainy,No,No,17.27,Low
Red Fort,2884399,Sunday,Sunny,No,No,37.27,Low
Red Fort,2884399,Sunday,Cloudy,No,No,37.27,Low
Red Fort,2884399,Sunday,Rainy,No,No,27.27,Low
Red Fort,2884399,Monday,Sunny,Yes,No,27.27,Low
Red Fort,2884399,Monday,Cloudy,Yes,No,27.27,Low
Red Fort,2884399,Monday,Rainy,Yes,No,17.27,Low
Red Fort,2884399,Tuesday,Sunny,Yes,No,27.27,Low
Red Fort,2884399,Tuesday,Cloudy,Yes,No,27.27,Low
Red Fort,2884399,Tuesday,Rainy,Yes,No,17.27,Low
Red Fort,2884399,Wednesday,Sunny,Yes,No,27.27,Low
Red Fort,2884399,Wednesday,Cloudy,Yes,No,27.27,Low
Red Fort,2884399,Wednesday,Rainy,Yes,No,17.27,Low
Red Fort,2884399,Thursday,Sunny,Yes,No,27.27,Low
Red Fort,2884399,Thursday,Cloudy,Yes,No,27.27,Low
Red Fort,2884399,Thursday,Rainy,Yes,No,17.27,Low
Red Fort,2884399,Friday,Sunny,Yes,No,37.27,Low
Red Fort,2884399,Friday,Cloudy,Yes,No,37.27,Low
Red Fort,2884399,Friday,Rainy,Yes,No,27.27,Low
Red Fort,2884399,Saturday,Sunny,Yes,No,37.27,Low
Red Fort,2884399,Saturday,Cloudy,Yes,No,37.27,Low
Red Fort,2884399,Saturday,Rainy,Yes,No,27.27,Low
Red Fort,2884399,Sunday,Sunny,Yes,No,47.27,Medium
Red Fort,2884399,Sunday,Cloudy,Yes,No,47.27,Medium
Red Fort,2884399,Sunday,Rainy,Yes,No,37.27,Low
Red Fort,2884399,Monday,Sunny,No,Yes,32.27,Low
Red Fort,2884399,Monday,Cloudy,No,Yes,32.27,Low
Red Fort,2884399,Monday,Rainy,No,Yes,22.27,Low
Red Fort,2884399,Tuesday,Sunny,No,Yes,32.27,Low
Red Fort,2884399,Tuesday,Cloudy,No,Yes,32.27,Low
Red Fort,2884399,Tuesday,Rainy,No,Yes,22.27,Low
Red Fort,2884399,Wednesday,Sunny,No,Yes,32.27,Low
Red Fort,2884399,Wednesday,Cloudy,No,Yes,32.27,Low
Red Fort,2884399,Wednesday,Rainy,No,Yes,22.27,Low
Red Fort,2884399,Thursday,Sunny,No,Yes,32.27,Low
Red Fort,2884399,Thursday,Cloudy,No,Yes,32.27,Low
Red Fort,2884399,Thursday,Rainy,No,Yes,22.27,Low
Red Fort,2884399,Friday,Sunny,No,Yes,42.27,Medium
Red Fort,2884399,Friday,Cloudy,No,Yes,42.27,Medium
Red Fort,2884399,Friday,Rainy,No,Yes,32.27,Low
Red Fort,2884399,Saturday,Sunny,No,Yes,42.27,Medium
Red Fort,2884399,Saturday,Cloudy,No,Yes,42.27,Medium
Red Fort,2884399,Saturday,Rainy,No,Yes,32.27,Low
Red Fort,2884399,Sunday,Sunny,No,Yes,52.27,Medium
Red Fort,2884399,Sunday,Cloudy,No,Yes,52.27,Medium
Red Fort,2884399,Sunday,Rainy,No,Yes,42.27,Medium
Red Fort,2884399,Monday,Sunny,Yes,Yes,42.27,Medium
Red Fort,2884399,Monday,Cloudy,Yes,Yes,42.27,Medium
Red Fort,2884399,Monday,Rainy,Yes,Yes,32.27,Low
Red Fort,2884399,Tuesday,Sunny,Yes,Yes,42.27,Medium
Red Fort,2884399,Tuesday,Cloudy,Yes,Yes,42.27,Medium
Red Fort,2884399,Tuesday,Rainy,Yes,Yes,32.27,Low
Red Fort,2884399,Wednesday,Sunny,Yes,Yes,42.27,Medium
Red Fort,2884399,Wednesday,Cloudy,Yes,Yes,42.27,Medium
Red Fort,2884399,Wednesday,Rainy,Yes,Yes,32.27,Low
Red Fort,2884399,Thursday,Sunny,Yes,Yes,42.27,Medium
Red Fort,2884399,Thursday,Cloudy,Yes,Yes,42.27,Medium
Red Fort,2884399,Thursday,Rainy,Yes,Yes,32.27,Low
Red Fort,2884399,Friday,Sunny,Yes,Yes,52.27,Medium
Red Fort,2884399,Friday,Cloudy,Yes,Yes,52.27,Medium
Red Fort,2884399,Friday,Rainy,Yes,Yes,42.27,Medium
Red Fort,2884399,Saturday,Sunny,Yes,Yes,52.27,Medium
Red Fort,2884399,Saturday,Cloudy,Yes,Yes,52.27,Medium
Red Fort,2884399,Saturday,Rainy,Yes,Yes,42.27,Medium
Red Fort,2884399,Sunday,Sunny,Yes,Yes,62.27,Medium
Red Fort,2884399,Sunday,Cloudy,Yes,Yes,62.27,Medium
Red Fort,2884399,Sunday,Rainy,Yes,Yes,52.27,Medium
Bibi Ka Maqbara,2004535,Monday,Sunny,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Monday,Cloudy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Monday,Rainy,No,No,4.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Sunny,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Cloudy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Rainy,No,No,4.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Sunny,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Cloudy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Rainy,No,No,4.23,Low
Bibi Ka Maqbara,2004535,Thursday,Sunny,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Thursday,Cloudy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Thursday,Rainy,No,No,4.23,Low
Bibi Ka Maqbara,2004535,Friday,Sunny,No,No,24.23,Low
Bibi Ka Maqbara,2004535,Friday,Cloudy,No,No,24.23,Low
Bibi Ka Maqbara,2004535,Friday,Rainy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Saturday,Sunny,No,No,24.23,Low
Bibi Ka Maqbara,2004535,Saturday,Cloudy,No,No,24.23,Low
Bibi Ka Maqbara,2004535,Saturday,Rainy,No,No,14.23,Low
Bibi Ka Maqbara,2004535,Sunday,Sunny,No,No,34.23,Low
Bibi Ka Maqbara,2004535,Sunday,Cloudy,No,No,34.23,Low
Bibi Ka Maqbara,2004535,Sunday,Rainy,No,No,24.23,Low
Bibi Ka Maqbara,2004535,Monday,Sunny,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Monday,Cloudy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Monday,Rainy,Yes,No,14.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Sunny,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Cloudy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Rainy,Yes,No,14.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Sunny,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Cloudy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Rainy,Yes,No,14.23,Low
Bibi Ka Maqbara,2004535,Thursday,Sunny,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Thursday,Cloudy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Thursday,Rainy,Yes,No,14.23,Low
Bibi Ka Maqbara,2004535,Friday,Sunny,Yes,No,34.23,Low
Bibi Ka Maqbara,2004535,Friday,Cloudy,Yes,No,34.23,Low
Bibi Ka Maqbara,2004535,Friday,Rainy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Saturday,Sunny,Yes,No,34.23,Low
Bibi Ka Maqbara,2004535,Saturday,Cloudy,Yes,No,34.23,Low
Bibi Ka Maqbara,2004535,Saturday,Rainy,Yes,No,24.23,Low
Bibi Ka Maqbara,2004535,Sunday,Sunny,Yes,No,44.23,Medium
Bibi Ka Maqbara,2004535,Sunday,Cloudy,Yes,No,44.23,Medium
Bibi Ka Maqbara,2004535,Sunday,Rainy,Yes,No,34.23,Low
Bibi Ka Maqbara,2004535,Monday,Sunny,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Monday,Cloudy,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Monday,Rainy,No,Yes,19.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Sunny,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Cloudy,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Tuesday,Rainy,No,Yes,19.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Sunny,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Cloudy,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Wednesday,Rainy,No,Yes,19.23,Low
Bibi Ka Maqbara,2004535,Thursday,Sunny,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Thursday,Cloudy,No,Yes,29.23,Low
Bibi Ka Maqbara,2004535,Thursday,Rainy,No,Yes,19.23,Low
Bibi Ka Maqbara,2004535,Friday,Sunny,No,Yes,39.23,Low
